"STATE/UT","YEAR","DG/ ADG","IG","DIG","SSP/SP/ Ad.SP","ASP/ DySP","Insepctor","Sub Inspector","Asst. Sub Inspector","Head Constable","Below HC above Constable","Constables","TOTAL"
"TOTAL (ALL-INDIA)","2006",272,453,430,3005,7310,19592,76663,78401,240195,88716,890984,1406021
"ANDHRA PRADESH","2007",20,22,24,159,315,1175,3486,3036,13429,0,56952,78618
"ARUNACHAL PRADESH","2007",0,1,4,13,44,92,317,148,636,202,4315,5772
"ASSAM","2007",7,11,16,184,270,722,3310,1809,5853,3301,36566,52049
"BIHAR","2007",10,26,21,73,265,650,5583,2866,6881,0,39500,55875
"CHHATTISGARH","2007",8,16,14,78,261,430,732,1398,4950,0,22083,29970
"GOA","2007",1,1,1,14,17,58,193,174,762,0,3454,4675
"GUJARAT","2007",14,28,15,56,192,627,1957,7705,17239,0,44874,72707
"HARYANA","2007",11,11,18,47,162,519,1387,3594,6289,0,31069,43107
"HIMACHAL PRADESH","2007",11,13,16,23,126,229,500,982,2170,0,7767,11837
"JAMMU & KASHMIR","2007",2,13,19,187,317,695,2124,2903,10335,41408,3708,61711
"JHARKHAND","2007",7,17,10,42,165,425,2741,1573,5371,0,30147,40498
"KARNATAKA","2007",1,7,3,66,170,622,1762,2788,12019,0,35854,53292
"KERALA","2007",8,14,7,60,309,459,1581,1331,7705,0,32184,43658
"MADHYA PRADESH","2007",10,20,30,172,682,1332,3411,4359,14038,0,52772,76826
"MAHARASHTRA","2007",25,31,40,206,552,2334,7315,12323,30364,28028,68353,149571
"MANIPUR","2007",2,7,7,54,110,200,718,515,2321,30,12370,16334
"MEGHALAYA","2007",6,6,3,24,52,151,749,161,892,311,6809,9164
"MIZORAM","2007",1,1,3,25,105,187,527,457,1330,1039,4067,7742
"NAGALAND","2007",4,7,11,47,61,77,336,214,779,1166,7604,10306
"ODISHA","2007",5,11,9,158,172,625,1904,2265,3605,562,28956,38272
"PUNJAB","2007",11,17,25,192,407,769,2124,4304,11620,0,52458,71927
"RAJASTHAN","2007",17,34,19,79,564,879,2418,4170,8221,0,48117,64518
"SIKKIM","2007",4,10,6,18,56,71,178,181,362,756,1318,2960
"TAMIL NADU","2007",23,33,33,232,607,2444,7125,0,36750,10180,30546,87973
"TRIPURA","2007",3,6,4,51,135,264,765,521,1954,1726,16389,21818
"UTTAR PRADESH","2007",47,49,49,355,777,1462,10961,0,24976,0,112804,151480
"UTTARAKHAND","2007",6,3,3,21,81,135,530,0,2230,510,10385,13904
"WEST BENGAL","2007",23,43,39,103,352,1395,5707,11975,7,3465,56962,80071
"TOTAL (STATES)","2007",287,458,449,2739,7326,19028,70441,71752,233088,92684,858383,1356635
"A & N ISLANDS","2007",1,0,2,3,12,39,151,206,489,0,1902,2805
"CHANDIGARH","2007",0,1,0,4,13,52,243,164,848,0,2738,4063
"D & N HAVELI","2007",0,0,0,2,1,1,12,2,46,0,154,218
"DAMAN & DIU","2007",0,0,1,1,2,3,9,6,33,0,161,216
"DELHI","2007",6,18,12,55,253,1117,3649,5899,15420,0,32196,58625
"LAKSHADWEEP","2007",0,0,0,1,1,5,12,11,61,0,199,290
"PUDUCHERRY","2007",1,0,1,3,18,53,133,69,374,0,1677,2329
"TOTAL (UTs)","2007",8,19,16,69,300,1270,4209,6357,17271,0,39027,68546
"TOTAL (ALL-INDIA)","2007",295,477,465,2808,7626,20298,74650,78109,250359,92684,897410,1425181
"ANDHRA PRADESH","2008",16,20,22,159,343,1242,3430,3089,13308,0,59635,81264
"ARUNACHAL PRADESH","2008",1,1,4,22,71,100,370,217,1078,106,5307,7277
"ASSAM","2008",9,14,16,184,270,722,3310,1809,5853,2600,36942,51729
"BIHAR","2008",17,15,18,86,326,702,5604,4186,7198,0,41939,60091
"CHHATTISGARH","2008",6,13,16,118,213,535,1029,1591,5704,0,25136,34361
"GOA","2008",1,1,0,14,25,51,187,178,757,0,3413,4627
"GUJARAT","2008",13,31,15,66,206,792,1595,7810,11122,0,36516,58166
"HARYANA","2008",8,18,11,67,139,629,1188,2959,5329,0,32220,42568
"HIMACHAL PRADESH","2008",13,15,11,70,100,232,537,992,2206,0,8870,13046
"JAMMU & KASHMIR","2008",7,23,19,223,381,722,2124,2903,10419,43179,3768,63768
"JHARKHAND","2008",7,16,15,64,266,697,3540,1637,7126,0,38460,51828
"KARNATAKA","2008",17,35,26,175,360,1082,2265,3746,16466,0,51165,75337
"KERALA","2008",8,12,5,59,312,466,1690,1378,7960,0,29165,41055
"MADHYA PRADESH","2008",10,20,30,194,660,1332,3410,4359,14041,0,52770,76826
"MAHARASHTRA","2008",26,30,44,218,488,3099,6832,14838,35018,33248,72525,166366
"MANIPUR","2008",2,7,5,50,101,285,733,538,2115,26,12296,16158
"MEGHALAYA","2008",6,6,3,25,64,157,727,167,974,384,7753,10266
"MIZORAM","2008",1,1,6,59,78,214,655,490,784,1223,6369,9880
"NAGALAND","2008",4,7,11,48,61,76,342,218,803,1145,7728,10443
"ODISHA","2008",8,15,9,127,200,708,2213,2308,3423,656,30709,40376
"PUNJAB","2008",12,18,25,195,410,573,1962,4137,11135,0,48788,67255
"RAJASTHAN","2008",17,26,10,74,586,891,2659,4292,8266,0,55950,72771
"SIKKIM","2008",4,11,4,35,36,61,176,199,446,0,2629,3601
"TAMIL NADU","2008",21,40,21,209,632,2416,7135,0,36762,10215,32281,89732
"TRIPURA","2008",3,7,7,59,181,233,808,478,1905,1912,16950,22543
"UTTAR PRADESH","2008",37,41,38,352,706,1403,10421,0,21516,0,103931,138445
"UTTARAKHAND","2008",5,6,4,46,68,164,658,0,2059,0,11795,14805
"WEST BENGAL","2008",19,49,21,105,365,1374,5744,10591,7,39,60404,78718
"TOTAL (STATES)","2008",298,498,416,3103,7648,20958,71344,75110,233780,94733,895414,1403302
"A & N ISLANDS","2008",1,0,2,3,12,39,150,204,480,0,1872,2763
"CHANDIGARH","2008",0,1,0,4,13,52,243,164,848,0,2738,4063
"D & N HAVELI","2008",0,0,0,2,1,1,11,2,44,0,152,213
"DAMAN & DIU","2008",0,0,1,1,2,1,9,5,31,0,170,220
"DELHI","2008",8,15,12,63,247,1192,4160,6124,15809,0,32814,60444
"LAKSHADWEEP","2008",0,0,0,1,1,5,12,13,64,0,212,308
"PUDUCHERRY","2008",1,0,1,3,18,49,130,68,345,0,1667,2282
"TOTAL (UTs)","2008",10,16,16,77,294,1339,4715,6580,17621,0,39625,70293
"TOTAL (ALL-INDIA)","2008",308,514,432,3180,7942,22297,76059,81690,251401,94733,935039,1473595
"ANDHRA PRADESH","2009",18,23,24,167,647,1400,4020,3322,14528,0,82706,106855
"ARUNACHAL PRADESH","2009",1,1,3,26,58,89,370,217,1078,106,5307,7256
"ASSAM","2009",9,14,16,184,270,722,3310,1809,5853,2600,36942,51729
"BIHAR","2009",20,15,19,78,384,704,5305,3977,7394,0,41304,59200
"CHHATTISGARH","2009",5,15,10,114,156,591,961,1842,6027,0,29986,39707
"GOA","2009",1,1,1,14,24,53,178,169,749,0,3534,4724
"GUJARAT","2009",15,26,18,73,210,750,1972,7836,11099,0,38357,60356
"HARYANA","2009",11,18,10,59,158,668,1277,3251,5442,0,30498,41392
"HIMACHAL PRADESH","2009",13,16,13,67,97,244,537,1106,2319,0,9558,13970
"JAMMU & KASHMIR","2009",3,18,45,243,462,963,2415,3540,14722,61963,3739,88113
"JHARKHAND","2009",7,16,15,55,309,316,2443,2162,5512,0,31525,42360
"KARNATAKA","2009",17,31,35,175,360,1082,2265,3746,16466,0,51165,75342
"KERALA","2009",8,11,5,53,316,474,1974,1471,8121,0,27356,39789
"MADHYA PRADESH","2009",10,20,30,194,660,1332,3410,4359,14043,0,52778,76836
"MAHARASHTRA","2009",24,40,44,259,562,3411,7551,14789,35765,38144,79314,179903
"MANIPUR","2009",1,7,4,60,89,420,814,646,2942,26,14227,19236
"MEGHALAYA","2009",5,7,3,30,60,162,735,175,1098,277,7512,10064
"MIZORAM","2009",1,1,4,68,59,193,522,366,1661,1250,6823,10948
"NAGALAND","2009",4,7,11,46,60,73,321,197,795,1072,7417,10003
"ODISHA","2009",5,10,13,174,479,802,1864,4229,3845,818,31236,43475
"PUNJAB","2009",11,17,24,176,228,550,2001,4187,11521,0,48329,67044
"RAJASTHAN","2009",12,21,10,211,364,875,2558,4255,8182,0,55237,71725
"SIKKIM","2009",3,11,5,36,38,64,173,199,446,0,2629,3604
"TAMIL NADU","2009",14,40,13,213,637,2428,7209,0,37161,10408,30549,88672
"TRIPURA","2009",3,7,7,59,181,265,754,555,2013,1868,17030,22742
"UTTAR PRADESH","2009",35,39,60,330,725,1295,8686,0,20200,0,116429,147799
"UTTARAKHAND","2009",6,5,4,51,60,160,676,0,2322,0,12303,15587
"WEST BENGAL","2009",24,47,24,120,407,1393,5890,11657,7,27,63762,83358
"TOTAL (STATES)","2009",286,484,470,3335,8060,21479,70191,80062,241311,118559,937552,1481789
"A & N ISLANDS","2009",1,1,1,4,16,44,192,212,642,0,2616,3729
"CHANDIGARH","2009",1,0,1,4,13,57,256,167,970,0,3226,4695
"D & N HAVELI","2009",0,0,0,2,1,1,10,3,43,0,162,222
"DAMAN & DIU","2009",0,0,1,1,2,1,9,5,31,0,170,220
"DELHI","2009",9,17,11,60,282,1175,4372,6173,17542,0,34802,64443
"LAKSHADWEEP","2009",0,0,0,1,1,7,6,5,63,0,171,254
"PUDUCHERRY","2009",1,0,1,2,20,51,129,45,405,0,1491,2145
"TOTAL (UTs)","2009",12,18,15,74,335,1336,4974,6610,19696,0,42638,75708
"TOTAL (ALL-INDIA)","2009",298,502,485,3409,8395,22815,75165,86672,261007,118559,980190,1557497
"ANDHRA PRADESH","2010",26,32,28,172,708,1533,4025,3536,14545,0,85299,109904
"ARUNACHAL PRADESH","2010",1,1,3,26,58,89,432,217,1078,106,5434,7445
"ASSAM","2010",11,14,16,184,311,722,3047,1825,5428,2445,40066,54069
"BIHAR","2010",20,15,19,90,294,742,7299,3503,7247,0,42627,61856
"CHHATTISGARH","2010",7,14,7,136,219,548,1061,1869,6545,0,31419,41825
"GOA","2010",1,1,1,13,24,54,168,182,806,0,3449,4699
"GUJARAT","2010",18,19,21,59,198,879,2646,8343,11926,0,40475,64584
"HARYANA","2010",12,19,12,57,172,620,680,1163,7313,0,37448,47496
"HIMACHAL PRADESH","2010",11,16,13,78,92,242,595,1018,2417,0,9093,13575
"JAMMU & KASHMIR","2010",5,13,24,205,459,849,2554,3636,12234,12778,44255,77012
"JHARKHAND","2010",6,18,12,40,203,502,2528,2565,5760,0,34979,46613
"KARNATAKA","2010",26,27,18,159,387,1074,2248,3824,18761,0,45073,71597
"KERALA","2010",6,11,5,60,317,482,2018,1522,8300,0,27829,40550
"MADHYA PRADESH","2010",33,69,41,71,614,1572,3001,3878,13668,0,53208,76155
"MAHARASHTRA","2010",26,43,34,200,544,3097,8038,14857,36097,36960,80059,179955
"MANIPUR","2010",4,7,1,61,141,390,908,452,3197,26,18336,23523
"MEGHALAYA","2010",6,7,6,30,60,161,734,175,1098,269,7701,10247
"MIZORAM","2010",2,0,5,68,69,225,676,470,1872,1267,6079,10733
"NAGALAND","2010",4,7,11,46,60,73,321,197,795,1072,7417,10003
"ODISHA","2010",6,21,16,111,363,753,2325,4277,3707,688,31178,43445
"PUNJAB","2010",11,24,25,184,316,916,2300,4250,10666,0,47978,66670
"RAJASTHAN","2010",10,22,19,154,709,878,2663,4298,8278,0,54539,71570
"SIKKIM","2010",7,8,3,42,39,63,141,161,451,251,2638,3804
"TAMIL NADU","2010",25,30,21,224,676,2482,7400,0,39917,11992,23988,86755
"TRIPURA","2010",3,7,7,35,193,391,979,555,2343,1915,17831,24259
"UTTAR PRADESH","2010",38,43,47,348,692,1230,8639,0,20316,0,110779,142132
"UTTARAKHAND","2010",7,3,4,46,68,169,922,0,2865,0,13960,18044
"WEST BENGAL","2010",27,42,29,138,399,1372,6460,12070,7,11,65542,86097
"TOTAL (STATES)","2010",359,533,448,3037,8385,22108,74808,78843,247637,69780,988679,1494617
"A & N ISLANDS","2010",1,1,1,4,18,50,201,215,573,0,2675,3739
"CHANDIGARH","2010",0,1,1,3,11,69,325,210,835,0,3604,5059
"D & N HAVELI","2010",0,0,0,2,1,1,10,3,44,0,147,208
"DAMAN & DIU","2010",0,0,1,1,2,1,9,5,31,0,170,220
"DELHI","2010",10,17,12,70,240,1289,4390,6390,17653,0,43791,73862
"LAKSHADWEEP","2010",0,0,0,1,1,7,3,13,88,0,219,332
"PUDUCHERRY","2010",0,1,1,2,19,67,185,71,441,0,1487,2274
"TOTAL (UTs)","2010",11,20,16,83,292,1484,5123,6907,19665,0,52093,85694
"TOTAL (ALL-INDIA)","2010",370,553,464,3120,8677,23592,79931,85750,267302,69780,1040772,1580311
"ANDHRA PRADESH","2011",17,22,23,204,552,1586,4524,3755,16324,0,62397,89404
"ARUNACHAL PRADESH","2011",1,2,3,13,69,108,356,170,949,106,5678,7455
"ASSAM","2011",11,14,16,184,311,722,3047,1825,5428,2445,40066,54069
"BIHAR","2011",19,14,23,107,323,841,7058,4248,6978,0,47935,67546
"CHHATTISGARH","2011",9,17,6,141,208,752,1849,1920,6552,0,32653,44107
"GOA","2011",1,1,1,14,24,60,172,180,828,0,4118,5399
"GUJARAT","2011",18,19,23,69,196,724,2417,8831,12605,0,46768,71670
"HARYANA","2011",9,22,8,37,219,743,1361,3579,5557,0,38830,50365
"HIMACHAL PRADESH","2011",10,14,13,79,93,237,607,1052,2480,0,10049,14634
"JAMMU & KASHMIR","2011",9,17,35,212,467,870,2545,3511,12560,13137,43442,76805
"JHARKHAND","2011",8,13,9,64,140,656,2926,3351,6407,0,41573,55147
"KARNATAKA","2011",25,25,22,174,437,1204,2366,4595,19448,0,46403,74699
"KERALA","2011",9,7,6,85,338,482,2233,1511,8655,0,31677,45003
"MADHYA PRADESH","2011",37,66,43,90,667,1167,2997,4512,13182,0,49744,72505
"MAHARASHTRA","2011",26,42,32,229,618,3401,8435,16342,37930,37843,78073,182971
"MANIPUR","2011",5,8,6,66,129,393,985,743,3315,26,18185,23861
"MEGHALAYA","2011",7,5,3,45,62,166,744,180,1274,151,8663,11300
"MIZORAM","2011",2,0,4,70,79,225,675,491,1873,570,6872,10861
"NAGALAND","2011",4,7,11,46,60,73,321,197,795,1072,7417,10003
"ODISHA","2011",8,10,11,115,381,771,2352,4238,4464,291,33335,45976
"PUNJAB","2011",13,28,21,199,235,681,2075,4448,9900,0,49506,67106
"RAJASTHAN","2011",22,22,20,55,596,838,2518,4096,7995,0,60194,76356
"SIKKIM","2011",5,7,2,40,38,64,145,161,635,192,3161,4450
"TAMIL NADU","2011",23,26,23,189,701,2700,5854,0,41917,15992,28320,95745
"TRIPURA","2011",3,7,7,35,193,391,979,555,2343,1915,17831,24259
"UTTAR PRADESH","2011",30,39,49,353,689,1175,9448,0,21006,0,154636,187425
"UTTARAKHAND","2011",6,3,6,43,70,213,1203,0,2809,0,14092,18445
"WEST BENGAL","2011",34,36,33,112,435,1427,6835,13865,0,0,61137,83914
"TOTAL (STATES)","2011",371,493,459,3070,8330,22670,77027,88356,254209,73740,1042755,1571480
"A & N ISLANDS","2011",1,1,2,4,19,53,181,221,712,0,2849,4043
"CHANDIGARH","2011",0,1,1,3,16,62,329,213,793,0,4738,6156
"D & N HAVELI","2011",0,0,0,2,1,1,11,3,58,0,230,306
"DAMAN & DIU","2011",0,0,1,2,2,6,19,19,74,0,228,351
"DELHI","2011",9,17,13,72,228,1288,4927,6568,18320,0,43675,75117
"LAKSHADWEEP","2011",0,0,0,1,1,7,10,10,91,0,302,422
"PUDUCHERRY","2011",0,1,1,2,21,67,209,71,420,0,1484,2276
"TOTAL (UTs)","2011",10,20,18,86,288,1484,5686,7105,20468,0,53506,88671
"TOTAL (ALL-INDIA)","2011",381,513,477,3156,8618,24154,82713,95461,274677,73740,1096261,1660151
"ANDHRA PRADESH","2012",19,17,21,239,574,1875,4281,4886,18765,0,66312,96989
"ARUNACHAL PRADESH","2012",1,5,1,51,38,132,290,190,994,0,7925,9627
"ASSAM","2012",18,5,11,89,299,709,3628,3453,7910,2315,39967,58404
"BIHAR","2012",12,20,25,84,286,774,6946,4129,7030,0,47339,66645
"CHHATTISGARH","2012",10,19,12,158,167,721,1205,2322,6775,0,31586,42975
"GOA","2012",1,1,1,14,24,60,172,180,828,0,4118,5399
"GUJARAT","2012",20,21,36,73,311,699,2197,8690,12821,0,43371,68239
"HARYANA","2012",16,14,8,53,217,701,1563,3775,6688,0,32076,45111
"HIMACHAL PRADESH","2012",8,13,13,62,127,223,562,1028,2454,0,9859,14349
"JAMMU & KASHMIR","2012",9,22,30,191,663,870,2545,3511,12560,13136,43443,76980
"JHARKHAND","2012",9,12,8,66,183,664,2864,3658,6943,0,42606,57013
"KARNATAKA","2012",19,21,18,154,425,1095,2316,4707,18521,0,44963,72239
"KERALA","2012",9,11,8,85,340,483,2263,1679,8700,0,31677,45255
"MADHYA PRADESH","2012",47,71,34,92,689,1281,3825,6183,14787,0,49754,76763
"MAHARASHTRA","2012",27,44,35,213,461,3526,9411,14436,35634,37263,84617,185667
"MANIPUR","2012",5,6,6,60,127,377,968,557,3441,26,17566,23139
"MEGHALAYA","2012",5,5,4,52,44,173,850,188,1347,396,8272,11336
"MIZORAM","2012",2,1,3,64,79,213,672,464,1836,516,6378,10228
"NAGALAND","2012",4,7,11,46,59,73,321,197,794,1072,7417,10001
"ODISHA","2012",8,16,18,152,358,737,2572,4213,4411,428,32455,45368
"PUNJAB","2012",12,31,18,211,341,801,1971,4611,10959,0,57982,76937
"RAJASTHAN","2012",20,21,17,220,401,909,2272,3957,7843,0,58807,74467
"SIKKIM","2012",5,7,2,40,38,64,145,161,635,192,3161,4450
"TAMIL NADU","2012",25,28,22,119,714,2725,6705,0,0,0,84079,94417
"TRIPURA","2012",4,6,8,44,115,208,1108,870,2564,2739,15806,23472
"UTTAR PRADESH","2012",40,39,48,201,935,949,8895,0,19895,0,152153,183155
"UTTARAKHAND","2012",4,3,7,47,74,207,1236,0,2834,0,13599,18011
"WEST BENGAL","2012",30,33,31,139,432,1441,6677,14153,0,0,65430,88366
"TOTAL (STATES)","2012",389,499,456,3019,8521,22690,78460,92198,217969,58083,1102718,1585002
"A & N ISLANDS","2012",1,2,1,5,20,53,140,226,712,0,3038,4198
"CHANDIGARH","2012",0,1,1,7,13,64,306,211,777,0,4637,6017
"D & N HAVELI","2012",0,0,0,1,2,1,11,0,46,0,227,288
"DAMAN & DIU","2012",0,0,1,2,2,6,8,26,91,0,120,256
"DELHI","2012",10,16,15,68,237,1317,4905,5846,19336,0,44575,76325
"LAKSHADWEEP","2012",0,0,0,1,3,6,7,25,77,0,283,402
"PUDUCHERRY","2012",0,1,2,6,19,65,204,71,566,0,1333,2267
"TOTAL (UTs)","2012",11,20,20,90,296,1512,5581,6405,21605,0,54213,89753
"TOTAL (ALL-INDIA)","2012",400,519,476,3109,8817,24202,84041,98603,239574,58083,1156931,1674755
